Articulo,Descripcion,Rubro,CON EL 20%,Stock,img
5-135,LASUR IMPREGNANTE BRILLANTE ROBLE 4 LTS,PINTURA,"$31,195.87",20,
5-136,LASUR IMPREGNANTE CRISTAL 4 LT,PINTURA,"$25,508.91",20,
5-137,LATEX ACRILICO INTERIOR FORZA 10 LTS,PINTURA,"$15,735.12",20,
5-138,LATEX ACRILICO INTERIOR FORZA 20 LTS,PINTURA,"$26,860.16",20,
5-139,LATEX ACRILICO INTERIOR FORZA 4 LTS,PINTURA,"$7,353.63",20,
5-136,LATEX ACRILICO INTERIOR PIACERE 1 LT,PINTURA,"$3,086.17",20,
26-008-AR,LATEX ARTEX X 20,PINTURA,"$28,584.70",20,
5-141,LATEX EXTERIOR INTERIOR PINTURELLA 1 LT BALDE ROJO,PINTURA,"$4,263.13",20,https://http2.mlstatic.com/D_NQ_NP_813589-MLA94069874115_102025-O.webp
5-142,LATEX EXTERIOR INTERIOR PINTURELLA 10 LTS BALDE ROJO,PINTURA,"$20,995.33",20,https://http2.mlstatic.com/D_NQ_NP_813589-MLA94069874115_102025-O.webp
5-143,LATEX EXTERIOR INTERIOR PINTURELLA 20 LTS BALDE ROJO,PINTURA,"$38,420.83",20,https://http2.mlstatic.com/D_NQ_NP_813589-MLA94069874115_102025-O.webp
5-144,LATEX EXTERIOR INTERIOR PINTURELLA 4 LTS BALDE ROJO,PINTURA,"$8,798.65",20,https://http2.mlstatic.com/D_NQ_NP_813589-MLA94069874115_102025-O.webp
5-145,LATEX EXTERIOR MURELLA 1 LT ( BALDE AMARILLO),PINTURA,"$4,408.70",20,
5-146,LATEX EXTERIOR MURELLA 10 LT ( BALDE AMARILLO),PINTURA,"$35,325.88",20,
5-147,LATEX EXTERIOR MURELLA 20 LT( BALDE AMARILLO),PINTURA,"$67,274.88",20,
5-148,LATEX EXTERIOR MURELLA 4 LT ( BALDE AMARILLO),PINTURA,"$15,364.79",20,
26-005-P,LATEX FASETEC X 10 LTS,PINTURA,"$17,270.63",20,
26-008-P,LATEX FASETEC X 20,PINTURA,"$31,376.75",20,
AU-001-LIE,LATEX OBRERA INTERIOR EXTERIOR X 1 LT,PINTURA,"$2,872.01",20,
AU-010-LIE,LATEX OBRERA INTERIOR EXTERIOR X 10 LTS,PINTURA,"$17,663.84",20,
AU-020-LIE,LATEX OBRERA INTERIOR EXTERIOR X 20 LTS,PINTURA,"$28,407.73",20,
AU-004-LIE,LATEX OBRERA INTERIOR EXTERIOR X 4 LTS,PINTURA,"$6,462.31",20,
15-003-L,LATEX TALENTO LAVABLE INTERIOR EXTERIOR  10 LTS,PINTURA,"$31,916.99",20,
15-001-L,LATEX TALENTO LAVABLE INTERIOR EXTERIOR 1 LT,PINTURA,"$4,010.85",20,
15-004-L,LATEX TALENTO LAVABLE INTERIOR EXTERIOR 20 LTS,PINTURA,"$60,025.43",20,
15-002-L,LATEX TALENTO LAVABLE INTERIOR EXTERIOR 4 LTS,PINTURA,"$14,997.09",20,
SG-040-TBL4,LATEX TEK BOND INTERIOR EXTERIOR ACRILICO X 4 LTS,PINTURA,"$8,018.27",20,
5-170,LIJA AL AGUA  400,FERRETERIA,$488.21,20,
5-149,LIJA AL AGUA 100,FERRETERIA,$488.21,20,
5-150,LIJA AL AGUA 1000,FERRETERIA,$596.75,20,
5-151,LIJA AL AGUA 120,FERRETERIA,$488.21,20,
5-152,LIJA AL AGUA 150,FERRETERIA,$488.21,20,
5-153,LIJA AL AGUA 1500,FERRETERIA,$596.75,20,
5-154,LIJA AL AGUA 180,FERRETERIA,$488.21,20,
5-155,LIJA AL AGUA 2000,FERRETERIA,$596.75,20,
5-156,LIJA AL AGUA 220,FERRETERIA,$488.21,20,
5-157,LIJA AL AGUA 240,FERRETERIA,$488.21,20,
5-158,LIJA AL AGUA 2500,FERRETERIA,$596.75,20,
5-159,LIJA AL AGUA 280,FERRETERIA,$454.57,20,
5-160,LIJA AL AGUA 320,FERRETERIA,$488.21,20,
5-161,LIJA AL AGUA 360,FERRETERIA,$488.21,20,
5-162,LIJA AL AGUA 400,FERRETERIA,$488.21,20,
5-163,LIJA AL AGUA 500,FERRETERIA,$488.21,20,
5-164,LIJA AL AGUA 60,FERRETERIA,$488.21,20,
5-165,LIJA AL AGUA 600,FERRETERIA,$488.21,20,
5-166,LIJA AL AGUA 80,FERRETERIA,$488.21,20,
5-167,LIJA AL AGUA 800,FERRETERIA,$596.75,20,
5-168,LIJA ROJA 100,FERRETERIA,$353.37,20,
5-169,LIJA ROJA 120,FERRETERIA,$353.37,20,
5-170,LIJA ROJA 150,FERRETERIA,$353.37,20,
5-171,LIJA ROJA 180,FERRETERIA,$353.37,20,
5-172,LIJA ROJA 60,FERRETERIA,$353.37,20,
5-173,LIJA ROJA 80,FERRETERIA,$353.37,20,
5-174,LIJA TELA ESMERIL 100,FERRETERIA,$767.45,20,
5-175,LIJA TELA ESMERIL 120,FERRETERIA,$767.45,20,
5-176,LIJA TELA ESMERIL 150,FERRETERIA,$767.45,20,
5-177,LIJA TELA ESMERIL 180,FERRETERIA,$767.45,20,
5-178,LIJA TELA ESMERIL 220,FERRETERIA,$767.45,20,
5-179,LIJA TELA ESMERIL 240,FERRETERIA,$767.45,20,
5-180,LIJA TELA ESMERIL 320,FERRETERIA,$767.45,20,
5-181,LIJA TELA ESMERIL 36,FERRETERIA,$767.45,20,
5-182,LIJA TELA ESMERIL 60,FERRETERIA,$767.45,20,
5-183,LIJA TELA ESMERIL 80,FERRETERIA,$767.45,20,
10-010-P,LIMPIA CONTACTO PENETRIT X 120,FERRETERIA,"$4,338.74",20,
10-011-P,LIMPIA CONTACTO PENETRIT X 200,FERRETERIA,"$5,879.59",20,
1-171,LINEA EXTERIOR 1 PUNTO,ELECTRICIDAD,$602.93,20,
11-015-2,LINEA EXTERIOR 2 PUNTOS,ELECTRICIDAD,$954.46,20,
1-172,LINEA EXTERIOR BINORMA 1 PUNTO + 1 TOMA,ELECTRICIDAD,"$1,260.68",20,
1-173,LINEA EXTERIOR BINORMA 1 TOMA,ELECTRICIDAD,$706.99,20,
1-175,LINEA EXTERIOR BINORMA 2 TOMA,ELECTRICIDAD,"$1,534.97",20,
1-179,LINEA EXTERIOR CAPSULADA  1TOMA 20 AMP,ELECTRICIDAD,"$2,966.01",20,
1-176,LINEA EXTERIOR CAPSULADA 1 PUNTO,ELECTRICIDAD,"$2,413.13",20,
1-177,LINEA EXTERIOR CAPSULADA BINORMA 1 TOMA,ELECTRICIDAD,"$2,430.79",20,
1-178,LINEA EXTERIOR CAPSULADA BINORMA 1PUNTO + 1 TOMA,ELECTRICIDAD,"$2,982.11",20,
1-180,LINEA EXTERIOR CAPSULADA BINORMA 2 TOMA,ELECTRICIDAD,"$2,982.11",20,
1-181,LINEA EXTERIOR CIOCCA 1 PULSADOR,FERRETERIA,$561.20,20,
11-014-V,LINEA EXTERIOR CIOCCA 1 TOMA  20 AMP ( VERTICAL ),FERRETERIA,"$1,723.78",20,
1-174,LINEA EXTERIOR CIOCCA 1 TOMA 20 AMP  ( HORIZONTAL),ELECTRICIDAD,"$1,955.74",20,
10-016-V,LINEA EXTERIOR CIOCCA 20 AMP   ( VERTICAL ),ELECTRICIDAD,"$1,671.01",20,
10-016-JB,LINEA SUPERFICIE  BLACK JELUZ 1 TOMA 10 A,ELECTRICIDAD,"$1,031.25",20,
10-017-JBPT,LINEA SUPERFICIE BLACK JELUZ 1 PUNTO Y 1 TOMA 10 A,ELECTRICIDAD,"$1,979.96",20,
10-017-JB20,LINEA SUPERFICIE BLACK JELUZ 1 TOMA 20 AMPERES,ELECTRICIDAD,"$2,114.83",20,
10-014-JB,LINEA SUPERFICIE BLACK JELUZ 2 TOMA 10 A,ELECTRICIDAD,"$1,027.19",20,
25-029-J,LINEA SUPERFICIE JELUZ 1 PULSADOR,ELECTRICIDAD,"$1,984.02",20,
10-014-J,LINEA SUPERFICIE JELUZ 1 PUNTO,ELECTRICIDAD,"$1,975.90",20,
10-017-J,LINEA SUPERFICIE JELUZ 1 PUNTO Y 1 TOMA 10 A,ELECTRICIDAD,"$1,074.56",20,
10-016-J,LINEA SUPERFICIE JELUZ 1 TOMA 10 A,ELECTRICIDAD,"$1,289.27",20,
10-017-J20,LINEA SUPERFICIE JELUZ 1 TOMA 20 AMPERES,ELECTRICIDAD,"$1,724.86",20,
10-014-6,LINEA SUPERFICIE JELUZ 2 PUNTOS,ELECTRICIDAD,$652.09,20,
10-015-J10A,LINEA SUPERFICIE JELUZ 2 TOMA 10 A,ELECTRICIDAD,$641.92,20,
2-034-22,LINGA PITON 22 MM,FERRETERIA,"$11,257.56",20,
LIQ-8,LIQ ENTONADOR X 120CC AZUL,PINTURA,"$1,000.00",20,
LIQ-5,LIQ ENTONADOR X 120CC BERMELLON,PINTURA,"$1,000.00",20,
LIQ-7,LIQ ENTONADOR X 120CC CEDRO,PINTURA,"$1,000.00",20,
LIQ-6,LIQ ENTONADOR X 120CC MARRON,PINTURA,"$1,000.00",20,
LIQ-4,LIQ. ESPATULA 3 ( 30MM),FERRETERIA,"$1,067.68",20,
LIQ-1,LIQ. ESPATULA 4 ( 40MM),PINTURA,"$1,067.68",20,
LIQ-2,LIQ. ESPATULA 5 ( 50MM),PINTURA,"$1,091.12",20,
LIQ-3,LIQ. ESPATULA 6 ( 60MM),PINTURA,"$1,121.12",20,
LIQ-10,LIQ.CEMENTO DE CONTACTO POR 500CC,PINTURA,"$3,999.45",20,
LIQ-11,LIQ.CEMENTO DE CONTACTO POR 800CC,PINTURA,"$7,000.00",20,
LIQ-4,LIQ.COLA VINILICA COLTEC  X 250CC,PINTURA,"$1,199.88",20,
LIQ-9,LIQ.PINCELES X 25,PINTURA,"$1,000.00",20,
3-002,LIQUIDACION AEROSOL GRAFITO EN POLVO 237 CC,LUBRICANTES,"$1,500.00",20,
1-012-R,LIQUIDACION CABLE DE COBRE TIPO TALLER 2X4 100M,ELECTRICIDAD,"$164,219.71",20,
1-142-R,LIQUIDACION CABLE DE COBRE TIPO TALLER 3 X 2.5 100M,ELECTRICIDAD,"$160,820.49",20,
1-031-L,LIQUIDACION CABLE DE COBRE UNIPOLAR  V Y A 2.5 100M,ELECTRICIDAD,"$33,010.32",20,
1-032-R,LIQUIDACION CABLE DE COBRE UNIPOLAR  V Y A 4 100M,ELECTRICIDAD,"$58,199.65",20,
1-015-L,LIQUIDACION CABLE DE COBRE UNIPOLAR AZUL 1X1.5,ELECTRICIDAD,"$22,204.25",20,
1-016-L,LIQUIDACION CABLE DE COBRE UNIPOLAR AZUL 1X2.5,ELECTRICIDAD,"$33,010.32",20,
1-107-L,LIQUIDACION CABLE DE COBRE UNIPOLAR AZUL 4 100 M,ELECTRICIDAD,"$57,286.98",20,
1-019-L,LIQUIDACION CABLE DE COBRE UNIPOLAR BLANCO 1 X 2.5,ELECTRICIDAD,"$33,010.32",20,
1-018-L,LIQUIDACION CABLE DE COBRE UNIPOLAR BLANCO 1X1.5,ELECTRICIDAD,"$22,204.25",20,
1-020-L,LIQUIDACION CABLE DE COBRE UNIPOLAR BLANCO 1X4,ELECTRICIDAD,"$57,286.98",20,
1-023-R,LIQUIDACION CABLE DE COBRE UNIPOLAR MARRON 1 X 4,ELECTRICIDAD,"$57,286.98",20,
1-021-L,LIQUIDACION CABLE DE COBRE UNIPOLAR MARRON 1X1.5,ELECTRICIDAD,"$22,204.25",20,
1-022-R,LIQUIDACION CABLE DE COBRE UNIPOLAR MARRON 1X2.5,ELECTRICIDAD,"$33,010.32",20,
1-024-L,LIQUIDACION CABLE DE COBRE UNIPOLAR NEGRO 1X1.5,ELECTRICIDAD,"$22,204.25",20,
1-025-L,LIQUIDACION CABLE DE COBRE UNIPOLAR NEGRO 1X2.5,ELECTRICIDAD,"$33,010.32",20,
1-026-L,LIQUIDACION CABLE DE COBRE UNIPOLAR NEGRO 4 100M,ELECTRICIDAD,"$57,286.98",20,
1-027-L,LIQUIDACION CABLE DE COBRE UNIPOLAR ROJO 1.5 100M,ELECTRICIDAD,"$22,204.25",20,
1-028-L,LIQUIDACION CABLE DE COBRE UNIPOLAR ROJO 2.5 100M,ELECTRICIDAD,"$33,010.32",20,
1-029-L,LIQUIDACION CABLE DE COBRE UNIPOLAR ROJO 4 100M,ELECTRICIDAD,"$22,204.25",20,
1-030-L,LIQUIDACION CABLE DE COBRE UNIPOLAR V Y A 1.5 100M,ELECTRICIDAD,"$22,204.25",20,
4-015- COLTEC,LIQUIDACION CEMENTO DE CONTACTO X 500 CM,PEGAMENTO,"$6,696.24",20,
4-013-COLTEC,LIQUIDACION CLTEC CEMENTO DE CONTACTO X 800,PEGAMENTO,"$10,900.84",20,
4-014-COLTEC,LIQUIDACION COLTEC COLA VINILICA X 250,PEGAMENTO,"$2,102.31",20,
5-109,LIQUIDACION ESPATULAS MANGO DE PLASTICO 3 (30MM),PINTURA,$950.96,20,
5-110,LIQUIDACION ESPATULAS MANGO DE PLASTICO 4 (40MM),PINTURA,"$1,045.00",20,
4-019,LIQUIDACION ESPATULAS MANGO DE PLASTICO 5 (50MM),PEGAMENTO,"$1,280.13",20,
5-111-6,LIQUIDACION ESPATULAS MANGO DE PLASTICO 6 (60MM),PEGAMENTO,"$1,266.54",20,
2-022,LIQUIDACION MANDRIL 20 CM,FERRETERIA,$552.14,20,
2-023,LIQUIDACION MANDRIL 25 CM,FERRETERIA,$612.38,20,
10-112-L,LIQUIDACION PINCELES 25,FERRETERIA,$785.64,20,
30-008,LIQUITECH CAUCHOGOMA   X 10  BLANCO,PINTURA,"$67,205.60",20,
30-002,LIQUITECH CAUCHOGOMA   X 10  GRIS CLARO,PINTURA,"$61,052.74",20,
30-005,LIQUITECH CAUCHOGOMA   X 10  NEGRO,PINTURA,"$61,096.00",20,
30-009,LIQUITECH CAUCHOGOMA   X 20  BLANCO,PINTURA,"$116,879.30",20,
30-003,LIQUITECH CAUCHOGOMA   X 20  GRIS CLARO,PINTURA,"$106,178.67",20,
30-006,LIQUITECH CAUCHOGOMA   X 20  NEGRO,PINTURA,"$106,253.91",20,
30-007,LIQUITECH CAUCHOGOMA   X 4  BLANCO,PINTURA,"$26,752.38",20,
30-001,LIQUITECH CAUCHOGOMA   X 4  GRIS CLARO,PINTURA,"$23,382.66",20,
30-004,LIQUITECH CAUCHOGOMA   X 4  NEGRO,PINTURA,"$23,382.66",20,
1-181,LISTON BAJO MESADA 09 W 60CM,ELECTRICIDAD,"$5,299.71",20,
1-182,LISTON BAJO MESADA 12 W 90CM,ELECTRICIDAD,"$6,273.68",20,
1-199,LISTON BAJO MESADA 18 W 120CM,ELECTRICIDAD,"$6,901.05",20,
1-181-1,LISTON BAJO MESADA 5W 30 CM,ELECTRICIDAD,"$4,661.93",20,
2-031C,LLAVE ALLEN CROMADA CORTA,FERRETERIA,"$2,888.44",20,
2-031,LLAVE ALLEN CROMADA LARGA,FERRETERIA,"$4,844.53",20,
2-054,LLAVE ALLEN NEGRA 10 PCS FT TI,FERRETERIA,"$2,002.51",20,
2-037,LLAVE MANDRIL 13MM,FERRETERIA,$858.72,20,
11-002,LLAVE MANDRIL 4 EN 1,FERRETERIA,"$3,313.39",20,
11-004,LLAVE PARA AMOLADORA,FERRETERIA,"$3,249.79",20,
2-055,LLAVE TORX 10 PCS TI,FERRETERIA,"$2,381.31",20,
2-032,LLAVE TORX CORTA CROMADA,FERRETERIA,"$3,930.46",20,
2-033,LLAVE TORX LARGA CROMADA,FERRETERIA,"$5,118.75",20,
SG-300-LUB,LUBRICANTE AEROSOL MULTIPROPOSITO X 300 ML,PINTURA,"$2,824.62",20,
26-001-P,LUBRICANTE EN GRASA PARA CADENA X 350 CC,FERRETERIA,"$5,022.12",20,
1-184,LUCES DE EMERGENCIA 30 LED,ELECTRICIDAD,"$9,467.80",20,
1-185,LUCES DE EMERGENCIA 60 LED,ELECTRICIDAD,"$14,792.52",20,
2-022,MANDRIL 20 CM,FERRETERIA,$659.45,20,
2-023,MANDRIL 25 CM,FERRETERIA,$731.42,20,
SG-040-TB,"MASILLA  PARA PLACA DE YESO X 1,5KG",FERRETERIA,"$2,299.75",20,
SG-039-TB,MASILLA  PARA PLACA DE YESO X 5 KG,FERRETERIA,"$6,437.45",20,
5-184,"MASILLA PARA PLACA DE YESO AKUAPLUS 1,7 KG",PINTURA,"$2,507.79",20,
5-185,MASILLA PARA PLACA DE YESO AKUAPLUS 16 KG,PINTURA,"$16,682.02",20,
5-186,MASILLA PARA PLACA DE YESO AKUAPLUS 32 KG,PINTURA,"$30,979.75",20,
5-187,MASILLA PARA PLACA DE YESO AKUAPLUS 7 KG,PINTURA,"$7,527.19",20,
5-199,MASILLA PARA VIDRIO Y SANITARIO 1 KG,FERRETERIA,"$1,867.10",20,
5-189,MASILLA PARA VIDRIO Y SANITARIO 500GR,FERRETERIA,"$1,104.42",20,
SG-040-TB,"MASILLA TEK BOND PARA PLACA DE YESO X 1,5KG",PINTURA,"$2,299.75",20,
SG-039-TB,MASILLA TEK BOND PARA PLACA DE YESO X 5 KG,PINTURA,"$6,437.45",20,
5-153,MASILLA TRADICIONAL + ENDURECEDOR X 1,PINTURA,"$8,496.79",20,
5-142,MASILLA TRADICIONAL + ENDURECEDOR X 1/2,PINTURA,"$6,640.55",20,
5-141,MASILLA TRADICIONAL + ENDURECEDOR X 1/4,PINTURA,"$5,444.87",20,
2-060-P,MECHA PREMIUM ZHIWEI WIDIA 10,ELECTRICIDAD,"$1,617.37",20,
2-060-P,MECHA PREMIUM ZHIWEI WIDIA 12,ELECTRICIDAD,"$2,497.87",20,
2-058-P,MECHA PREMIUM ZHIWEI WIDIA 6MM,FERRETERIA,"$1,005.92",20,
2-059-P,MECHA PREMIUM ZHIWEI WIDIA 8MM,ELECTRICIDAD,"$1,400.41",20,
2-060-10,MECHA SIN BLISTER WIDIA 10 MM,FERRETERIA,$817.83,20,
2-056-4,MECHA SIN BLISTER WIDIA 4 MM,FERRETERIA,$444.99,20,
2-057-5,MECHA SIN BLISTER WIDIA 5 MM,FERRETERIA,$481.06,20,
2-058,MECHA SIN BLISTER WIDIA 6 MM,FERRETERIA,$491.86,20,
2-059,MECHA SIN BLISTER WIDIA 8 MM,FERRETERIA,$697.55,20,
5-190,MEMBRANA LIQUIDA BLANCA 1 LT,PINTURA,"$4,249.91",20,
5-191,MEMBRANA LIQUIDA BLANCA 10 LTS,PINTURA,"$29,044.85",20,
5-192,MEMBRANA LIQUIDA BLANCA 20 LTS,PINTURA,"$52,600.11",20,
5-193,MEMBRANA LIQUIDA BLANCA 4 LTS,PINTURA,"$13,130.76",20,
5-194,MEMBRANA LIQUIDA ROJA 1 LT,PINTURA,"$4,249.91",20,
5-195,MEMBRANA LIQUIDA ROJA 10 LTS,PINTURA,"$29,044.85",20,
5-196,MEMBRANA LIQUIDA ROJA 20 LTS,PINTURA,"$52,600.11",20,
5-197,MEMBRANA LIQUIDA ROJA 4 LTS,PINTURA,"$13,130.76",20,
5-198,MEMBRANA LIQUIDA VERDE 1 LT,PINTURA,"$4,249.91",20,
5-199,MEMBRANA LIQUIDA VERDE 10 LTS,PINTURA,"$29,044.85",20,
5-200,MEMBRANA LIQUIDA VERDE 20 LTS,PINTURA,"$52,600.11",20,
5-201,MEMBRANA LIQUIDA VERDE 4 LTS,PINTURA,"$13,130.76",20,
1-152-M,MODULO CIOCCA 1 TOMA 10 AMP BINORMA,ELECTRICIDAD,$490.84,20,
1-152-M20A,MODULO CIOCCA 1 TOMA 20 AMP,ELECTRICIDAD,$716.29,20,
1-150-M,MODULO CIOCCA PUNTO UNIPOLAR,ELECTRICIDAD,$443.14,20,
1-151-M,MODULO CIOCCA TAPON CIEGO,ELECTRICIDAD,$72.30,20,
25-026-J,MODULO DOBLE PLATINUM TOMA 20 AMP,ELECTRICIDAD,$80.19,20,
10-010-J,MODULO JELUZ  TOMA DOBLE VERONA,ELECTRICIDAD,"$1,208.29",20,
10-013-J,MODULO JELUZ 1 TOMA 10 AMP BINORMA VERONA,ELECTRICIDAD,$794.28,20,
10-011-J,MODULO JELUZ PUNTO VERONA,ELECTRICIDAD,"$1,261.49",20,
10-012,MODULO JELUZ TAPON CIEGO VERONA,ELECTRICIDAD,$641.92,20,
11-016-1/2,MODULO MEDIO PUNTO DOBLE JELUZ,ELECTRICIDAD,$652.09,20,
10-013,MODULO PUNTO TECLON JELUZ PLATINUM,ELECTRICIDAD,"$1,862.17",20,
1-159-20,MODULO TOMA 20 AMP JELUZ,FERRETERIA,$971.90,20,
11-010-M,MODULO Y MEDIO 1 TOMA 10 AMP,ILUMINACION,$536.19,20,
11-011-M,MODULO Y MEDIO TECLON,ELECTRICIDAD,$538.54,20,
25-028-J,MODULOS PLATINUM JELUZ 1 PUNTO,ELECTRICIDAD,"$1,866.00",20,
25-027-J,MODULOS PLATINUM JELUZ 1 TOMA 10 AMP,ELECTRICIDAD,"$1,993.11",20,
1-297,PAR DE ZOCALOS G 13 P/TUBO LED,ELECTRICIDAD,"$1,264.52",20,
26-002-P,PASACABLE X 250 CM,FERRETERIA,"$3,946.77",20,
5-070,PASTA DE PULIR FINA  1 KGS,PINTURA,"$10,262.95",20,
5-074,PASTA DE PULIR FINA 1/2 KGS,PINTURA,"$6,606.87",20,
5-073,PASTA DE PULIR GRUESA 1/2 KGS,PINTURA,"$6,529.81",20,
5-072,PASTA DE PULIR GRUESA X 1 KGS,PINTURA,"$9,837.76",20,
10-001-P,PENETRIT  MULTIUSO X 220 CC,FERRETERIA,"$3,240.83",20,
10-002-P,PENETRIT MULTIUSO X 440 CC,FERRETERIA,"$4,591.09",20,
10-007-P,PENETRIT QUITA SARRO X 1 LT,FERRETERIA,"$3,537.21",20,
10-006-P,PENETRIT QUITA SARRO X 500 CC,FERRETERIA,"$2,178.02",20,
11-003,PIEDRA MONTADA X 5 PIEZAS CHICAS,FERRETERIA,"$2,247.87",20,
5-202,PINCELES 07,PINTURA,"$1,339.16",20,
5-203,PINCELES 10,PINTURA,"$1,520.18",20,
5-204,PINCELES 15,PINTURA,"$1,934.64",20,
5-205,PINCELES 20,PINTURA,"$2,331.91",20,
5-206,PINCELES 25,PINTURA,"$2,538.55",20,
5-207,PINCELES 30,PINTURA,"$2,437.01",20,
5-208,PINCELETAS 40,PINTURA,"$1,632.09",20,
5-209,PINTURA ASFALTICA ALFA 1 LTS,PINTURA,"$4,223.89",20,
5-210,PINTURA ASFALTICA ALFA 10 LTS,PINTURA,"$13,928.95",20,
5-211,PINTURA ASFALTICA ALFA 18 LTS,PINTURA,"$31,435.28",20,
5-212,PINTURA ASFALTICA ALFA 4 LTS,PINTURA,"$48,857.65",20,
5-788,PINTURA PARA PILETA X 20 LTS CELESTE,PINTURA,"$50,982.40",20,
5-568,PINTURA PARA PILETA X 4 LTS CELESTE,PINTURA,"$21,533.42",20,
5-PP20,PINTURA PARA PISO X 20 LTS GRIS,PINTURA,"$109,005.00",20,
12-006-AMPERO,PINZA AMPEROMETRICA,ELECTRICIDAD,"$15,875.21",20,
11-005,PINZA PELACABLE,FERRETERIA,"$3,051.88",20,
12-030-,PIPETA 11/4PULGADA,FERRETERIA,$999.71,20,
1-186,PIRAMIDE MULTIFICHA PATA CHATA,ELECTRICIDAD,"$1,574.80",20,
2-031,PISTOLA APLICADORA DE SILICONA PROFESIONAL,FERRETERIA,"$5,477.15",20,
Y-001-PASP,PISTOLA APLICADORA PROFESIONAL,FERRETERIA,"$6,805.47",20,
2-032-C,PISTOLA CANDELA PARA BARRA DE SILICONA 40 W,FERRETERIA,"$5,209.04",20,
2-032,PISTOLA CANDELA PARA BARRA SILICONA 10W,FERRETERIA,"$3,806.62",20,
2-060-PAA,PISTOLA DE ALUMINIO EXPERTO PARA SILICONA,ELECTRICIDAD,"$8,821.56",20,
2-033-P40,PISTOLA INPORTADA PARA BARRA SILICONA 40W,FERRETERIA,"$4,741.38",20,
12-002-N12,PLAFON BLACK FRIO CUADRADO EMBUTIR 12 W,ELECTRICIDAD,"$4,637.91",20,
12-002-N,PLAFON BLACK FRIO CUADRADO EMBUTIR 18 W,ELECTRICIDAD,"$6,271.36",20,
12-002-N12,PLAFON BLACK FRIO CUADRADO EXTERIOR 12 W,ELECTRICIDAD,"$4,942.93",20,
12-004-N,PLAFON BLACK FRIO CUADRADO EXTERIOR 18 W,ELECTRICIDAD,"$7,316.58",20,
12-002-N12,PLAFON BLACK FRIO REDONDO EMBUTIR 12 W,ILUMINACION,"$4,386.53",20,
12-001-N,PLAFON BLACK FRIO REDONDO EMBUTIR 18 W,ILUMINACION,"$5,524.76",20,
12-002-N12,PLAFON BLACK FRIO REDONDO EXTERIOR 12 W,ELECTRICIDAD,"$4,642.37",20,
12-003-N,PLAFON BLACK FRIO REDONDO EXTERIOR 18 W,ELECTRICIDAD,"$6,570.00",20,
1-187,PLAFON LED 60CM X 60 CM 40W FRIA,ELECTRICIDAD,"$30,184.15",20,
1-188,PLAFON LED 60CM X 60 CM 40W NEUTRA/NATURAL,ELECTRICIDAD,"$30,184.15",20,
1-187-48,PLAFON LED 60CM X 60 CM 48W FRIO,ELECTRICIDAD,"$32,692.53",20,
1-189,PLAFON LED CALIDO CUADRADO EMBUTIR 06 W,ELECTRICIDAD,"$3,158.68",20,
1-190,PLAFON LED CALIDO CUADRADO EMBUTIR 12 W,ELECTRICIDAD,"$4,601.52",20,
1-191,PLAFON LED CALIDO CUADRADO EMBUTIR 18 W,ELECTRICIDAD,"$6,081.97",20,
1-192,PLAFON LED CALIDO CUADRADO EMBUTIR 24 W,ELECTRICIDAD,"$11,009.63",20,
1-193,PLAFON LED CALIDO CUADRADO EXTERIOR 06 W,ELECTRICIDAD,"$4,061.08",20,
1-194,PLAFON LED CALIDO CUADRADO EXTERIOR 12 W,ELECTRICIDAD,"$5,565.21",20,
1-195,PLAFON LED CALIDO CUADRADO EXTERIOR 18 W,ELECTRICIDAD,"$5,820.07",20,
1-196,PLAFON LED CALIDO CUADRADO EXTERIOR 24 W,ELECTRICIDAD,"$12,208.90",20,
1-197,PLAFON LED CALIDO REDONDO EMBUTIR 06 W,ELECTRICIDAD,"$2,983.18",20,
1-198,PLAFON LED CALIDO REDONDO EMBUTIR 12 W,ELECTRICIDAD,"$4,211.49",20,
1-199,PLAFON LED CALIDO REDONDO EMBUTIR 18 W,ELECTRICIDAD,"$5,241.72",20,
1-200,PLAFON LED CALIDO REDONDO EMBUTIR 24 W,ELECTRICIDAD,"$9,908.68",20,
1-201,PLAFON LED CALIDO REDONDO EXTERIOR 06 W,ELECTRICIDAD,"$3,873.10",20,
1-202,PLAFON LED CALIDO REDONDO EXTERIOR 12 W,ELECTRICIDAD,"$5,226.82",20,
1-203,PLAFON LED CALIDO REDONDO EXTERIOR 18 W,ELECTRICIDAD,"$6,281.97",20,
1-204,PLAFON LED CALIDO REDONDO EXTERIOR 24 W,ELECTRICIDAD,"$10,616.43",20,
1-205,PLAFON LED FRIO CUADRADO EMBUTIR 06 W,ELECTRICIDAD,"$3,158.68",20,
1-206,PLAFON LED FRIO CUADRADO EMBUTIR 12 W,ELECTRICIDAD,"$4,601.52",20,
1-207,PLAFON LED FRIO CUADRADO EMBUTIR 18 W,ELECTRICIDAD,"$6,081.97",20,
1-208,PLAFON LED FRIO CUADRADO EMBUTIR 24 W,ELECTRICIDAD,"$11,009.63",20,
1-209,PLAFON LED FRIO CUADRADO EXTERIOR 06 W,ELECTRICIDAD,"$4,061.08",20,
1-210,PLAFON LED FRIO CUADRADO EXTERIOR 12 W,ELECTRICIDAD,"$5,565.21",20,
1-211,PLAFON LED FRIO CUADRADO EXTERIOR 18 W,ELECTRICIDAD,"$7,042.26",20,
1-212,PLAFON LED FRIO CUADRADO EXTERIOR 24 W,ELECTRICIDAD,"$12,208.90",20,
